COIN,PRICE,CHG 24H,MKT CAP,VOL 24H,OPEN INTEREST,OI CHG 24H,OI SHARE,OI / VOL24H,FR AVG,PFR AVG,LIQS. 24H,Columna_13
,Enso ENSO,$1.91,+13.28%,$40.4m,$620.9m,$30.1m,+190.73%,0.39%,0.048,-2.0110%,-2.0798%,$2.6m
,Sapien SAPIEN,$0.1583,+18.27%,$39.6m,$134.9m,$5.9m,+138.03%,0.08%,0.044,+0.0067%,+0.0075%,$520.8k
,FTX Token FTT,$0.8507,-1.16%,n/a,$3.0m,$769.3k,+127.53%,0.01%,0.253,+0.0100%,+0.0100%,$0.0
,Flamingo FLM,$0.0236,+16.14%,$13.0m,$165.2m,$5.5m,+118.35%,0.07%,0.033,+0.0791%,+0.1626%,$406.7k
,Official Trump TRUMP,$8.40,+18.59%,$1.7b,$3.0b,$417.2m,+85.99%,5.36%,0.140,+0.0001%,-0.0031%,$8.2m
,Zeus Network ZEUS,$0.0751,+17.49%,$26.6m,$6.0m,$1.4m,+74.52%,0.02%,0.227,+0.0875%,+0.0234%,$6.3k
,Travala.com AVA,$0.3846,-0.81%,$26.9m,$97.9m,$2.1m,+71.33%,0.03%,0.022,+0.0075%,+0.0075%,$455.6k
,Avalon AVL,$0.1495,+7.24%,$38.0m,$6.7m,$1.4m,+64.59%,0.02%,0.203,-0.2127%,-0.1009%,$18.8k
,MyShell SHELL,$0.1098,-0.56%,$29.7m,$110.6m,$7.0m,+59.36%,0.09%,0.064,-0.1343%,-0.2929%,$260.9k
,OKZOO AIOT,$0.4135,-2.36%,$46.3m,$51.4m,$1.7m,+54.18%,0.02%,0.033,-0.0443%,-0.0478%,$192.3k
,rats (Ordinals) RATS,$0.0000,-8.48%,n/a,$303.3k,$227.3k,+49.25%,0.00%,0.749,+0.8833%,+1.8765%,$119.1
,deBridge DBR,$0.0345,+19.23%,$140.1m,$11.7m,$2.7m,+44.20%,0.03%,0.230,+0.0013%,+0.0013%,$49.8k
,peaq PEAQ,$0.0935,+11.21%,$131.6m,$7.6m,$3.2m,+43.16%,0.04%,0.422,+0.0100%,+0.0100%,$3.8k
,Chromia CHR,$0.0759,+4.88%,$64.4m,$13.4m,$3.0m,+41.07%,0.04%,0.223,-0.0954%,-0.0456%,$27.0k
,MON Protocol MON,$0.0535,-8.10%,$10.0m,$39.0m,$14.5m,+39.01%,0.19%,0.373,+0.0067%,+0.0075%,$48.9k
,Liquity LQTY,$0.5336,+2.91%,$52.4m,$66.3m,$5.2m,+38.58%,0.07%,0.078,-0.0133%,-0.6973%,$285.1k
,Open Loot OL,$0.0422,+26.82%,$32.8m,$570.5m,$17.3m,+30.79%,0.22%,0.030,+0.0051%,+0.0234%,$2.8m
,Perpetual Protocol PERP,$0.1915,-14.73%,$14.0m,$29.7m,$2.6m,+30.61%,0.03%,0.088,+0.0300%,+0.0720%,$34.8k
,Sleepless AI AI,$0.0787,+0.35%,$10.2m,$20.3m,$2.6m,+25.61%,0.03%,0.129,-0.0090%,+0.0012%,$60.3k
,IDEX IDEX,$0.0201,-0.14%,$19.8m,$3.2m,$403.0k,+23.83%,0.01%,0.127,-0.0205%,-0.1821%,$208.3
,Tree TREE,$0.1873,+1.87%,$29.8m,$26.3m,$6.9m,+23.52%,0.09%,0.262,+0.0044%,+0.0038%,$168.8k
